"DisMod II input and output, database Australia-AIHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Females, Disease: Breast cancer (Rates * ), sex: Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Written 28/07/2020, 2:54:06 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Age","Incidence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)","","","","","","","","","","","","","","","","","",""
"93","0.0028","0.0000","0.0024","0.0034","0.1334","0.0000","0.0169","3.7182","0.0023","1.0915","93.5000","","","","","","","","","","","","","","","","","",""
"94","0.0028","0.0000","0.0024","0.0033","0.1344","0.0000","0.0173","3.4683","0.0023","1.0846","94.5000","","","","","","","","","","","","","","","","","",""
"95","0.0028","0.0000","0.0024","0.0033","0.1352","0.0000","0.0175","3.2353","0.0024","1.0779","95.5000","","","","","","","","","","","","","","","","","",""
"96","0.0028","0.0000","0.0024","0.0033","0.1360","0.0000","0.0175","3.0288","0.0024","1.0692","96.5000","","","","","","","","","","","","","","","","","",""
"97","0.0028","0.0000","0.0024","0.0033","0.1367","0.0000","0.0174","2.8550","0.0024","1.0625","97.5000","","","","","","","","","","","","","","","","","",""
"98","0.0028","0.0000","0.0024","0.0033","0.1375","0.0000","0.0174","2.7260","0.0024","1.0548","98.5000","","","","","","","","","","","","","","","","","",""
"99","0.0028","0.0000","0.0024","0.0033","0.1383","0.0000","0.0173","2.6457","0.0024","1.0510","99.5000","","","","","","","","","","","","","","","","","",""
"100+","0.0028","0.0000","0.0024","0.0033","0.1390","0.0000","0.0173","2.6119","0.0024","1.0469","102.2173","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"All ages","NA","NA","0.0002","0.0015","0.0226","0.0000","0.0101","21.6895","0.0002","3.9261","62.2988","","","","","","","","","","","","","","","","","",""
