"DisMod II input and output, database Australia","","","","","","","","","","","",""
"Males, Disease: colon and rectum cancer (Rates * ), sex: Males","","","","","","","","","","","",""
"Written 27/07/2020, 5:03:50 PM","","","","","","","","","","","",""
"Age","Incidence (rates)","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)"
"83","0.0051","0.0246","0.0000","0.0046","0.0046","0.0372","0.0000","0.1377","3.3626","0.0051","2.8866","83.5000"
"84","0.0051","0.0246","0.0000","0.0046","0.0050","0.0366","0.0000","0.1530","3.0591","0.0056","2.8693","84.5000"
"85","0.0066","0.0282","0.0000","0.0081","0.0053","0.0359","0.0000","0.1741","2.7699","0.0062","2.8945","85.5000"
"86","0.0066","0.0282","0.0000","0.0081","0.0056","0.0348","0.0000","0.1998","2.5004","0.0069","2.9309","86.5000"
"87","0.0066","0.0282","0.0000","0.0081","0.0059","0.0333","0.0000","0.2300","2.2534","0.0077","2.9658","87.5000"
"88","0.0066","0.0282","0.0000","0.0081","0.0062","0.0315","0.0000","0.2648","2.0313","0.0083","2.9934","88.5000"
"89","0.0066","0.0282","0.0000","0.0081","0.0065","0.0293","0.0000","0.3042","1.8354","0.0089","3.0279","89.5000"
"90","0.0067","0.0245","0.0000","0.0119","0.0067","0.0269","0.0000","0.3482","1.6645","0.0093","3.0911","90.5000"
"91","0.0067","0.0245","0.0000","0.0119","0.0070","0.0243","0.0000","0.4012","1.5180","0.0097","3.2348","91.5000"
"92","0.0067","0.0245","0.0000","0.0119","0.0073","0.0217","0.0000","0.4587","1.3932","0.0099","3.4684","92.5000"
"93","0.0067","0.0245","0.0000","0.0119","0.0075","0.0192","0.0000","0.5208","1.2791","0.0099","3.8526","93.5000"
"94","0.0067","0.0245","0.0000","0.0119","0.0079","0.0170","0.0000","0.5873","1.1552","0.0099","4.4919","94.5000"
"95","0.0081","0.0114","0.0000","0.0186","0.0082","0.0151","0.0000","0.6584","1.0377","0.0099","3.9114","95.5000"
"96","0.0081","0.0114","0.0000","0.0186","0.0086","0.0136","0.0000","0.7340","0.9528","0.0099","3.9880","96.5000"
"97","0.0081","0.0114","0.0000","0.0186","0.0089","0.0124","0.0000","0.8027","0.8811","0.0099","4.0135","97.5000"
"98","0.0081","0.0114","0.0000","0.0186","0.0093","0.0115","0.0000","0.8782","0.8216","0.0101","4.0466","98.5000"
"99","0.0081","0.0114","0.0000","0.0186","0.0096","0.0108","0.0000","0.9476","0.7829","0.0102","4.0438","99.5000"
"100+","0.0081","0.0114","0.0000","0.0186","0.0097","0.0103","0.0000","0.9743","0.7694","0.0100","3.9037","102.4802"
"","","","","","","","","","","","",""
"All ages","NA","0.0063","NA","0.0005","0.0009","0.0076","0.0000","0.0651","9.9745","0.0005","3.1876","70.3751"
