"DisMod II input and output, database Australia-AIHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Males, Disease: Lung cancer (Rates * ), sex: Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Written 28/07/2020, 3:01:14 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Age","Incidence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)","","","","","","","","","","","","","","","","","",""
"72","0.0028","0.0000","0.0019","0.0025","0.0074","0.0000","0.2422","3.9463","0.0018","14.0385","72.5000","","","","","","","","","","","","","","","","","",""
"73","0.0028","0.0000","0.0019","0.0027","0.0082","0.0000","0.2364","3.9656","0.0019","11.8550","73.5000","","","","","","","","","","","","","","","","","",""
"74","0.0028","0.0000","0.0019","0.0029","0.0090","0.0000","0.2308","3.9745","0.0021","10.9482","74.5000","","","","","","","","","","","","","","","","","",""
"75","0.0036","0.0000","0.0027","0.0031","0.0098","0.0000","0.2252","3.9677","0.0022","9.9667","75.5000","","","","","","","","","","","","","","","","","",""
"76","0.0036","0.0000","0.0027","0.0033","0.0107","0.0000","0.2199","3.9453","0.0024","8.7384","76.5000","","","","","","","","","","","","","","","","","",""
"77","0.0036","0.0000","0.0027","0.0034","0.0116","0.0000","0.2146","3.9116","0.0025","7.3492","77.5000","","","","","","","","","","","","","","","","","",""
"78","0.0036","0.0000","0.0027","0.0036","0.0125","0.0000","0.2095","3.8660","0.0026","6.5477","78.5000","","","","","","","","","","","","","","","","","",""
"79","0.0036","0.0000","0.0027","0.0037","0.0135","0.0000","0.2052","3.8003","0.0028","6.1137","79.5000","","","","","","","","","","","","","","","","","",""
"80","0.0043","0.0000","0.0032","0.0039","0.0144","0.0000","0.2015","3.7168","0.0029","5.3395","80.5000","","","","","","","","","","","","","","","","","",""
"81","0.0043","0.0000","0.0032","0.0040","0.0154","0.0000","0.1984","3.6197","0.0031","4.8323","81.5000","","","","","","","","","","","","","","","","","",""
"82","0.0043","0.0000","0.0032","0.0041","0.0163","0.0000","0.1959","3.5122","0.0032","4.2190","82.5000","","","","","","","","","","","","","","","","","",""
"83","0.0043","0.0000","0.0032","0.0043","0.0172","0.0000","0.1940","3.3924","0.0033","3.9579","83.5000","","","","","","","","","","","","","","","","","",""
"84","0.0043","0.0000","0.0032","0.0044","0.0181","0.0000","0.1927","3.2617","0.0035","3.4936","84.5000","","","","","","","","","","","","","","","","","",""
"85","0.0047","0.0000","0.0042","0.0045","0.0189","0.0000","0.1924","3.1316","0.0036","3.1582","85.5000","","","","","","","","","","","","","","","","","",""
"86","0.0047","0.0000","0.0042","0.0045","0.0197","0.0000","0.1926","3.0011","0.0038","2.9152","86.5000","","","","","","","","","","","","","","","","","",""
"87","0.0047","0.0000","0.0042","0.0046","0.0204","0.0000","0.1932","2.8637","0.0039","2.7611","87.5000","","","","","","","","","","","","","","","","","",""
"88","0.0047","0.0000","0.0042","0.0046","0.0209","0.0000","0.1941","2.7264","0.0041","2.5053","88.5000","","","","","","","","","","","","","","","","","",""
"89","0.0047","0.0000","0.0042","0.0045","0.0213","0.0000","0.1955","2.6015","0.0042","2.3288","89.5000","","","","","","","","","","","","","","","","","",""
"90","0.0041","0.0000","0.0045","0.0045","0.0216","0.0000","0.1973","2.4829","0.0043","2.2167","90.5000","","","","","","","","","","","","","","","","","",""
"91","0.0041","0.0000","0.0045","0.0044","0.0217","0.0000","0.1996","2.3691","0.0043","2.1041","91.5000","","","","","","","","","","","","","","","","","",""
"92","0.0041","0.0000","0.0045","0.0043","0.0217","0.0000","0.2018","2.2666","0.0044","2.0004","92.5000","","","","","","","","","","","","","","","","","",""
"93","0.0041","0.0000","0.0045","0.0043","0.0216","0.0000","0.2041","2.1699","0.0044","1.9454","93.5000","","","","","","","","","","","","","","","","","",""
"94","0.0041","0.0000","0.0045","0.0042","0.0214","0.0000","0.2063","2.0896","0.0044","1.8320","94.5000","","","","","","","","","","","","","","","","","",""
"95","0.0041","0.0000","0.0045","0.0042","0.0212","0.0000","0.2086","2.0239","0.0044","1.8208","95.5000","","","","","","","","","","","","","","","","","",""
"96","0.0041","0.0000","0.0045","0.0042","0.0210","0.0000","0.2109","1.9685","0.0044","1.7444","96.5000","","","","","","","","","","","","","","","","","",""
"97","0.0041","0.0000","0.0045","0.0042","0.0207","0.0000","0.2129","1.8953","0.0044","1.8263","97.5000","","","","","","","","","","","","","","","","","",""
"98","0.0041","0.0000","0.0045","0.0042","0.0205","0.0000","0.2150","1.8282","0.0044","1.6492","98.5000","","","","","","","","","","","","","","","","","",""
"99","0.0041","0.0000","0.0045","0.0042","0.0203","0.0000","0.2170","1.8090","0.0044","1.6717","99.5000","","","","","","","","","","","","","","","","","",""
"100+","0.0041","0.0000","0.0045","0.0042","0.0201","0.0000","0.2178","1.7922","0.0044","1.6322","102.4025","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"All ages","NA","NA","0.0004","0.0005","0.0017","0.0000","0.2269","3.6601","0.0004","19.3952","72.4554","","","","","","","","","","","","","","","","","",""
