"DisMod II input and output, database Australia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Females, Disease: Ischemic heart disease                (Rates * ), sex: Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Written 27/07/2020, 4:45:24 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Age","Incidence (rates)","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)","","","","","","","","","","","","","","","","","","","","","","",""
"89","0.0145","0.1149","0.0000","0.0159","0.0213","0.1205","0.0000","0.1653","2.7778","0.0199","2.3692","89.5000","","","","","","","","","","","","","","","","","","","","","","",""
"90","0.0288","0.1209","0.0000","0.0340","0.0244","0.1214","0.0000","0.1940","2.5391","0.0236","2.4008","90.5000","","","","","","","","","","","","","","","","","","","","","","",""
"91","0.0288","0.1209","0.0000","0.0340","0.0281","0.1219","0.0000","0.2275","2.3445","0.0277","2.4830","91.5000","","","","","","","","","","","","","","","","","","","","","","",""
"92","0.0288","0.1209","0.0000","0.0340","0.0320","0.1221","0.0000","0.2626","2.1863","0.0321","2.6265","92.5000","","","","","","","","","","","","","","","","","","","","","","",""
"93","0.0288","0.1209","0.0000","0.0340","0.0362","0.1220","0.0000","0.2993","2.0462","0.0365","2.8831","93.5000","","","","","","","","","","","","","","","","","","","","","","",""
"94","0.0288","0.1209","0.0000","0.0340","0.0407","0.1217","0.0000","0.3376","1.8967","0.0411","3.3435","94.5000","","","","","","","","","","","","","","","","","","","","","","",""
"95","0.0526","0.1210","0.0000","0.0759","0.0454","0.1213","0.0000","0.3776","1.7568","0.0458","3.1742","95.5000","","","","","","","","","","","","","","","","","","","","","","",""
"96","0.0526","0.1210","0.0000","0.0759","0.0503","0.1210","0.0000","0.4192","1.6545","0.0507","3.3162","96.5000","","","","","","","","","","","","","","","","","","","","","","",""
"97","0.0526","0.1210","0.0000","0.0759","0.0548","0.1207","0.0000","0.4562","1.5706","0.0550","3.4336","97.5000","","","","","","","","","","","","","","","","","","","","","","",""
"98","0.0526","0.1210","0.0000","0.0759","0.0597","0.1205","0.0000","0.4969","1.5061","0.0598","3.5730","98.5000","","","","","","","","","","","","","","","","","","","","","","",""
"99","0.0526","0.1210","0.0000","0.0759","0.0642","0.1203","0.0000","0.5344","1.4697","0.0643","3.6981","99.5000","","","","","","","","","","","","","","","","","","","","","","",""
"100+","0.0526","0.1210","0.0000","0.0759","0.0659","0.1202","0.0000","0.5488","1.4596","0.0659","3.7128","104.4153","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"All ages","NA","0.0210","NA","0.0013","0.0023","0.0180","0.0000","0.0609","10.4178","0.0011","2.8879","76.6231","","","","","","","","","","","","","","","","","","","","","","",""
