"DisMod II input and output, database Australia-AIHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Females, Disease: Lung cancer (Rates * ), sex: Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Written 28/07/2020, 3:02:16 PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Age","Incidence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)","","","","","","","","","","","","","","","","","",""
"78","0.0023","0.0000","0.0014","0.0022","0.0135","0.0000","0.1095","6.2469","0.0015","5.4504","78.5000","","","","","","","","","","","","","","","","","",""
"79","0.0023","0.0000","0.0014","0.0023","0.0143","0.0000","0.1066","6.0638","0.0015","4.8591","79.5000","","","","","","","","","","","","","","","","","",""
"80","0.0023","0.0000","0.0017","0.0023","0.0150","0.0000","0.1042","5.8592","0.0016","4.3144","80.5000","","","","","","","","","","","","","","","","","",""
"81","0.0023","0.0000","0.0017","0.0023","0.0157","0.0000","0.1024","5.6353","0.0016","3.9174","81.5000","","","","","","","","","","","","","","","","","",""
"82","0.0023","0.0000","0.0017","0.0023","0.0163","0.0000","0.1013","5.4009","0.0017","3.4104","82.5000","","","","","","","","","","","","","","","","","",""
"83","0.0023","0.0000","0.0017","0.0023","0.0169","0.0000","0.1007","5.1629","0.0017","3.1010","83.5000","","","","","","","","","","","","","","","","","",""
"84","0.0023","0.0000","0.0017","0.0022","0.0174","0.0000","0.1007","4.9187","0.0018","2.8632","84.5000","","","","","","","","","","","","","","","","","",""
"85","0.0021","0.0000","0.0020","0.0022","0.0178","0.0000","0.1010","4.6758","0.0018","2.5871","85.5000","","","","","","","","","","","","","","","","","",""
"86","0.0021","0.0000","0.0020","0.0021","0.0182","0.0000","0.1009","4.4384","0.0018","2.3821","86.5000","","","","","","","","","","","","","","","","","",""
"87","0.0021","0.0000","0.0020","0.0021","0.0185","0.0000","0.1004","4.2042","0.0019","2.1954","87.5000","","","","","","","","","","","","","","","","","",""
"88","0.0021","0.0000","0.0020","0.0020","0.0187","0.0000","0.0996","3.9804","0.0019","2.0026","88.5000","","","","","","","","","","","","","","","","","",""
"89","0.0021","0.0000","0.0020","0.0019","0.0188","0.0000","0.0985","3.7622","0.0018","1.8933","89.5000","","","","","","","","","","","","","","","","","",""
"90","0.0015","0.0000","0.0017","0.0018","0.0188","0.0000","0.0969","3.5501","0.0018","1.7479","90.5000","","","","","","","","","","","","","","","","","",""
"91","0.0015","0.0000","0.0017","0.0017","0.0188","0.0000","0.0954","3.3494","0.0018","1.6567","91.5000","","","","","","","","","","","","","","","","","",""
"92","0.0015","0.0000","0.0017","0.0017","0.0187","0.0000","0.0943","3.1593","0.0018","1.5656","92.5000","","","","","","","","","","","","","","","","","",""
"93","0.0015","0.0000","0.0017","0.0016","0.0186","0.0000","0.0936","2.9812","0.0017","1.5073","93.5000","","","","","","","","","","","","","","","","","",""
"94","0.0015","0.0000","0.0017","0.0016","0.0185","0.0000","0.0933","2.8084","0.0017","1.4573","94.5000","","","","","","","","","","","","","","","","","",""
"95","0.0015","0.0000","0.0017","0.0015","0.0183","0.0000","0.0933","2.6407","0.0017","1.4161","95.5000","","","","","","","","","","","","","","","","","",""
"96","0.0015","0.0000","0.0017","0.0015","0.0182","0.0000","0.0938","2.4870","0.0017","1.3703","96.5000","","","","","","","","","","","","","","","","","",""
"97","0.0015","0.0000","0.0017","0.0015","0.0180","0.0000","0.0945","2.3542","0.0017","1.3385","97.5000","","","","","","","","","","","","","","","","","",""
"98","0.0015","0.0000","0.0017","0.0015","0.0178","0.0000","0.0953","2.2532","0.0017","1.3008","98.5000","","","","","","","","","","","","","","","","","",""
"99","0.0015","0.0000","0.0017","0.0015","0.0177","0.0000","0.0960","2.1891","0.0017","1.2833","99.5000","","","","","","","","","","","","","","","","","",""
"100+","0.0015","0.0000","0.0017","0.0015","0.0175","0.0000","0.0963","2.1615","0.0017","1.2617","102.2173","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"All ages","NA","NA","0.0003","0.0004","0.0022","0.0000","0.1192","6.3076","0.0003","19.1338","71.2489","","","","","","","","","","","","","","","","","",""
